team_ID,league_ID,club,squad,foreigners,avg_market_value_m,total_MV_m,Logo_img,link_page
70,4,Club Atletico Independiente,29,6,1.9,55.11,https://tmssl.akamaized.net/images/wappen/header/1234.png,https://www.transfermarkt.com/ca-independiente-de-avellaneda/kader/verein/1234/saison_id/2019/plus/1
71,4,Club Atletico Lanus,29,1,1.63,47.26,https://tmssl.akamaized.net/images/wappen/header/333.png,https://www.transfermarkt.com/club-atletico-lanus/kader/verein/333/saison_id/2019/plus/1
72,4,Club Atletico Talleres,29,6,1.47,42.83,https://tmssl.akamaized.net/images/wappen/header/3938.png,https://www.transfermarkt.com/talleres-de-cordoba-ca/kader/verein/3938/saison_id/2019/plus/1
73,4,Club Atletico Colon,27,3,1.24,33.34,https://tmssl.akamaized.net/images/wappen/header/1070.png,https://www.transfermarkt.com/club-atletico-colon-santa-fe-/kader/verein/1070/saison_id/2019/plus/1
74,4,Club Deportivo Godoy Cruz Antonio Tomba,33,6,1.0,32.86,https://tmssl.akamaized.net/images/wappen/header/12574.png,https://www.transfermarkt.com/club-deportivo-godoy-cruz/kader/verein/12574/saison_id/2019/plus/1
75,4,Asociacion Atletica Argentinos Juniors,28,3,1.13,31.62,https://tmssl.akamaized.net/images/wappen/header/1030.png,https://www.transfermarkt.com/argentinos-juniors/kader/verein/1030/saison_id/2019/plus/1
76,4,Club Atletico Banfield,27,4,1.09,29.48,https://tmssl.akamaized.net/images/wappen/header/830.png,https://www.transfermarkt.com/club-atletico-banfield/kader/verein/830/saison_id/2019/plus/1
77,4,Club Estudiantes de La Plata,28,3,1.0,28.12,https://tmssl.akamaized.net/images/wappen/header/288.png,https://www.transfermarkt.com/estudiantes-de-la-plata/kader/verein/288/saison_id/2019/plus/1
78,4,Club Atletico Newell's Old Boys,27,2,0.91,24.64,https://tmssl.akamaized.net/images/wappen/header/1286.png,https://www.transfermarkt.com/club-atletico-newells-old-boys/kader/verein/1286/saison_id/2019/plus/1
79,4,Club Atletico Rosario Central,24,3,0.74,17.74,https://tmssl.akamaized.net/images/wappen/header/1418.png,https://www.transfermarkt.com/club-atletico-rosario-central/kader/verein/1418/saison_id/2019/plus/1
80,4,Defensa y Justicia,17,3,0.73,12.43,https://tmssl.akamaized.net/images/wappen/header/2402.png,https://www.transfermarkt.com/defensa-y-justicia/kader/verein/2402/saison_id/2019/plus/1
81,4,Club Atletico Tucuman,19,0,0.64,12.13,https://tmssl.akamaized.net/images/wappen/header/14554.png,https://www.transfermarkt.com/club-atletico-tucuman/kader/verein/14554/saison_id/2019/plus/1
82,4,Club Atletico Huracan,19,3,0.62,11.78,https://tmssl.akamaized.net/images/wappen/header/2063.png,https://www.transfermarkt.com/club-atletico-huracan/kader/verein/2063/saison_id/2019/plus/1
83,4,Club de Gimnasia y Esgrima La Plata,29,4,0.39,11.25,https://tmssl.akamaized.net/images/wappen/header/1106.png,https://www.transfermarkt.com/club-de-gimnasia-y-esgrima-la-plata/kader/verein/1106/saison_id/2019/plus/1
84,4,Club Atletico Union,22,3,0.42,9.18,https://tmssl.akamaized.net/images/wappen/header/7097.png,https://www.transfermarkt.com/ca-union-santa-fe/kader/verein/7097/saison_id/2019/plus/1
85,4,Club Atletico Patronato,19,1,0.31,5.82,https://tmssl.akamaized.net/images/wappen/header/19806.png,https://www.transfermarkt.com/club-atletico-patronato/kader/verein/19806/saison_id/2019/plus/1
86,4,Club Atletico Aldosivi,17,2,0.33,5.64,https://tmssl.akamaized.net/images/wappen/header/12301.png,https://www.transfermarkt.com/club-atletico-aldosivi-mdp-/kader/verein/12301/saison_id/2019/plus/1
87,4,Club Atletico Central Cordoba (SdE),16,2,0.32,5.07,https://tmssl.akamaized.net/images/wappen/header/31284.png,https://www.transfermarkt.com/club-atletico-central-cordoba-sde-/kader/verein/31284/saison_id/2019/plus/1
88,4,Arsenal Futbol Club,12,1,0.31,3.69,https://tmssl.akamaized.net/images/wappen/header/4673.png,https://www.transfermarkt.com/arsenal-de-sarandi-fc/kader/verein/4673/saison_id/2019/plus/1
